求人年度,求人番号,受付安定所,事業所番号,インターネットへの公開,事業所名 カナ,事業所名,郵便番号（所在地）,住所（所在地）,アクセス（所在地）,代表者名,法人番号,ホームページ,従業員数（企業全体）,従業員数（就業場所）,設立,資本金,事業内容,会社の特長,雇用形態,職種,仕事の内容,郵便番号（就業場所）,住所（就業場所）,アクセス（就業場所）,求人数（通勤）,求人数（住込）,求人数（不問）,必要な知識・技能等,転勤の可能性,マイカー通勤の可否,入居可能住宅（単身用）,入居可能住宅（世帯用）,基本給,月給（基本給+手当+残業代）,賞与有無（新卒）,時間外労働の有無,時間外労働の月平均時間数,変形労働時間制の種類,休日等,就業時間1,就業時間2,就業時間3,年間休日数,複数応募の受け入れ,複数応募開始の日程,職場見学の受け入れ,職場見学の日程,課係名・役職名（担当者）,氏名（担当者）,氏名カナ（担当者）,電話番号（担当者）,FAX（担当者）,Eメール（担当者）,補足事項,特記事項,産業分類,職業分類（3桁）,職業分類（5桁）,職業分類2（3桁）,職業分類2（5桁）,就業場所住所（市区町村）,就業場所住所2（市区町村）,就業場所住所3（市区町村）,管理番号,対象学科,エリア,卒業生の入社実績,その他の分類,募集人数,来校の有無,二次募集の有無,職場見学人数,応募人数,入社人数,備考,申送り事項,公開日時,最終更新日時,登録方法,元ファイル名,職業分類（ハローワーク）大分類,職業分類（ハローワーク）中分類,職業分類（ハローワーク）小分類,職業分類（handy）大分類,職業分類（handy）中分類,職業分類2（ハローワーク）大分類,職業分類2（ハローワーク）中分類,職業分類2（ハローワーク）小分類,職業分類2（handy）大分類,職業分類2（handy）中分類,お気に入り登録数,職業分類コード（日本標準職業分類への変換）,職業分類（日本標準職業分類への変換）,職業分類2コード（日本標準職業分類への変換）,職業分類2（日本標準職業分類への変換）
2026,27150-495669,茨木公共職業安定所,2715-409602-1,可,カブシキガイシャ サンプフードサービス,株式会社 三府フードサービス,567-0826,大阪府茨木市大池1-14-21,阪急京都線 茨木市駅 から 徒歩13分,代表取締役 岸中 健人,2120900000000,http://www.3pu.co.jp,150,30,昭和26年,"2,000万円",すし·和食·仕出し·回転寿司,"茨木市内にて4店舗で事業を展開しています
時期をみて出店計画中です",正社員,調理及びホール係,"出前·仕出し専門店「お届け料理 三府鮨」、鮨·居酒屋業態の「魚の旨いも
ん処 三府鮨」、回転すし業態の「廻し鮨 新鮮や」のいずれかの店舗で以下
のお仕事を行ってもらいます。
·鮨や魚介料理の仕込み
·鮨や魚介料理の調理や盛りつけ
·店舗でのテーブル案内、レジ、ホール仕事全般
·洗い物、器の整理整頓、店内外の清掃等
【変更範囲:変更無し】",567-0829,"大阪府茨木市双葉町7一24 三府鮨阪急茨木店
【※就業場所となる4店舗の所在地については特記事項欄参照】",阪急京都線 茨木市駅 から 徒歩3分,0,0,3,不問,あり,可,あり,なし,220000,220000,あり,あり,30,交替制 (シフト制),その他,08:00-18:00,10:00-20:00,,105,可,令和8年9月16日以降,可,補足事項欄参照,代表取締役,岸中 健人,キシナカ ケント,072-633-3333,072-636-0167,,"<就業場所について>
就業場所については、入社後、各店舗の状況、本人の希望により
以下の4店舗から決定します。
·魚の旨いもん処 三府鮨 阪急茨木店 茨木市双葉町7-24
·お届け料理 三府鮨 茨木真砂店 茨木市真砂2-9-7
·廻し鮨新鮮や 茨木鮎川店 茨木市鮎川1-7-28
·廻し鮨新鮮や 茨木畑田店 茨木市畑田町5-1
※店舗間の転勤可能性あり
<応募前職場見学について>
応募前職場見学については事前に採用担当までご連絡下さい。","<特別に支払われる手当について>
職位手当 30,000円〜50,000円
家族手当 配偶者10,000円 子3,000/人
 (但し、扶養親族に限る) 
<就業時間について>
就業時間は配属店舗により異なります。
<入居可能住宅について>
単身用宿舎あり (月額20,000円) 
【公 開 求 人】",764,55,055-01,56,056-03,大阪府茨木市,,,2940,,,,,,,,,,,,,2026年09月14日 08:54,2026年09月14日 08:54,バーコードスキャン,求人番号_27150-495669.pdf,サービスの職業,飲食物調理の職業,日本料理調理人,接客/サービスに関わる,飲食,サービスの職業,接客・給仕の職業,ウエイター・ウエイトレス（飲食店ホール係） 、配ぜん人,接客/サービスに関わる,接客,0,391,調理人,403,飲食物給仕従事者
2026,13170-231869,三鷹公共職業安定所,1317-617439-3,可,カブシキガイシャ カトウコウギョウ,株式会社 加藤工業,202-0001,東京都西東京市ひばりヶ丘1-6-10 ウィステリアヒルズ加藤,西武池袋線 ひばりヶ丘駅 から 徒歩8分,代表取締役 加藤 正幸,6012700000000,,30,30,昭和56年,"1,000万円","建築工事の左官工事業という専門工事業者です。主に野丁場といっ
て、ビル 病院、マンション、大型施設を施工しております。主な
御得意先は清水建設、奥村組、松井建設です。","当社は見習い期間3年を設けております。その後職人という位置づ
けになります。当社は20代から60代までの従業員がおり、社長
のモットーはチームワークと日々の感謝で協調性のある会社です。",正社員,建築業(左官),"◎「株式会社加藤工業」での左官のお仕事です。
モルタル塗り,日本壁塗り,プラスター塗り,サッシ廻りのモルタル詰め,打
ちっ放しコンクリートの補修仕上など最終的な表面塗り工事全般です。
■「株式会社加藤工業」は、「人生 出会い 感謝」をモットーに昭和10年
に創業しました。現在では左官職人、土間工100名体制となり工事内容の充
実に注力しております。☆大手ゼネコンから施工しており、大規模 (ビル) か
ら住宅のリフォームまで行っております。
【業務変更範囲:変更なし】",202-0001,"東京都西東京市ひばりヶ丘1-6-10ウィステリアヒルズ加藤
各現場:東京都,埼玉県 *原則:直行直帰",西武池袋線 ひばりヶ丘駅 から 徒歩8分,5,0,0,不問,なし,不可,あり,なし,270400,270400,あり,あり,3,変形労働時間制 (1ヶ月単位),土日 その他,08:00-17:00,,,115,可,令和8年10月1日以降,可,随時,採用担当,加藤,カトウ,042-421-9567,042-421-9568,miho19700530@yahoo.co.jp,"·応募前職場見学旅費あり (上限額2万円) 
·選考旅費あり (交通費全額支給) 
·面接は1回を予定しております。
·住宅手当あり (上限額2万円) ","·月額計算式
日給13000円×月平均労働日数20.8日=270,400円
·賞与は年2回1ヶ月分を支給
※昇給·賞与は、業績,勤務状況により決定します
·原則土曜日はお休みですが、ご希望の場合は出勤も可能です。
 (応相談) ",75,91,091-04,,,東京都西東京市,,,2939,,,,,,,,,,,,,2026年09月10日 08:51,2026年09月10日 08:51,バーコードスキャン,求人番号_13170-231869.pdf,建設・土木・電気工事の職業,建設の職業（建設躯体工事の職業を除く）,左官,建設/建築/土木に関わる,建築,,,,,,0,664,左官,,
2026,46080-98269,大隅公共職業安定所,4608-1462-5,可,アオゾラノウギョウキョウドウクミアイ,あおぞら農業協同組合,899-7402,鹿児島県志布志市有明町野井倉1373-1,,組合長 中之内 瑞穂,3340010000000,,81,81,昭和23年,,購買·信用·共済·販売、その他,"主に農家を対象に、販売·購買·指導·信用·共済等の各種事業を
行う中間的な非営利法人。",正社員,営農指導員,"〇農家組合員に対する技術、清算、流通指導業務です (畜産、茶業、園芸) 。
○地域に根差しており、安定した経営基盤があるので安心して働けます。
○農業に関する知識、経験を活かせる職場です。
※保険推進等はありません
【業務の変更範囲:組合指定の業務】",899-7402,鹿児島県志布志市有明町野井倉1373-1,,2,0,0,"必須
普通自動車免許 (AT限定可、入社後取得可) ",なし,可,なし,なし,150200,165200,あり,あり,8,,土日祝,08:30-17:00,,,125,可,令和8年10月1日以降,可,随時,企画管理課長,萩迫 謙二,ハギサコ ケンジ,099-474-1211,099-474-1218,,"〇試用期間:3ヶ月 (日給8,010円) 
○履歴書:手書き·パソコン作成どちらも可",○新卒者の入社日:令和9年4月1日,871,5,005-01,,,鹿児島県志布志市,,,2935,,,,,,,,,,,,,2026年09月07日 13:39,2026年09月07日 13:39,バーコードスキャン,求人番号_46080-98269.pdf,研究・技術の職業,農林水産技術者,農林水産技術者,農林水産業に関わる,その他(農林水産業に関わる),,,,,,0,61,農林水産技術者,,
2026,46080-99569,大隅公共職業安定所,4608-1462-5,可,アオゾラノウギョウキョウドウクミアイ,あおぞら農業協同組合,899-7402,鹿児島県志布志市有明町野井倉1373-1,,組合長 中之内 瑞穂,3340010000000,,81,81,昭和23年,,購買·信用·共済·販売、その他,"主に農家を対象に、販売·購買·指導·信用·共済等の各種事業を
行う中間的な非営利法人。",正社員,一般事務,"〇JAの事業 (信用·共済·販売·購買) にかかる一般事務·現業職。
○地域社会に根差しており、安定した経営基盤がありますので安心して働け
ます。
○金融、共済、農業資材の販売等、多種多様な仕事がありますので、多彩な
経験を積むことができ、さまざまな事業を通して、地域の皆さまの暮らし
を支えています。
【業務の変更範囲:組合指定の業務】",899-7402,鹿児島県志布志市有明町野井倉1373-1,,2,0,0,"必須
普通自動車免許 (AT限定可、入社後取得可) ",なし,可,なし,なし,150200,160200,あり,あり,8,,土日祝,08:30-17:00,,,125,可,令和8年10月1日以降,可,随時,企画管理課長,萩迫 謙二,ハギザコ ケンジ,099-474-1211,099-474-1218,,"〇試用期間:3ヶ月 (日給8,010円) 
○履歴書:手書き·パソコン作成どちらも可",○新卒者の入社日:令和9年4月1日,871,34,034-01,,,鹿児島県志布志市,,,2934,,,,,,,,,,,,,2026年09月07日 13:39,2026年09月07日 13:39,バーコードスキャン,求人番号_46080-99569.pdf,事務的職業,一般事務・秘書・受付の職業,一般事務員,事務に関わる,一般事務,,,,,,0,257,総合事務員,,
2026,40120-486569,福岡東公共職業安定所,4012-1867-1,可,キュウシュウ カワサキケンキ カブシキガイシャ,九州川崎建機 株式会社,811-0112,福岡県糟屋郡新宮町下府2丁目10番1号,JR新宮中央駅 から 徒歩15分,代表取締役 有松 弘治,1290000000000,https://kawasaki-kenki.co.jp,43,25,昭和46年,"3,800万円","*建設機械等及び部品の販売と修理整備
*大型トラックの特装","当社は、日立建機日本 (株) の特約店であり建設機械、破砕機、環
境機器の販売及び修理を主とする会社です。新規事業として、大型
トラックの特装を行っております。",正社員,"建設機械の整備士(道路工事や建設現場など
で使う機械の点検や修理)","建設機械とは、道路工事や建設現場、製鉄所や産廃処理施設など、日本の基幹
産業や環境保全を支える現場で使われる機械です。
その機械がスムーズに稼働するように、機械の点検を行い、アドバイスや修
理をする仕事です。機械の調子が戻って「ありがとう!」と言われた時は喜び
と達成感を感じる仕事です。
入社後は、まずメーカーで新人研修を受けて、安全第一と基礎知識·基礎実
技を学んで頂きます。その後、先輩社員に同行して補助作業をしながら徐々に
覚えていってください。
※変更の範囲:変更なし",811-0112,福岡県糟屋郡新宮町下府2丁目10番1号,JR新宮中央駅 から 徒歩15分,2,0,0,不問,あり,可,なし,なし,190000,190000,なし,あり,29,,土日祝 その他,08:30-17:30,,,125,可,令和8年11月1日以降,可,随時,常務取締役,竹内 聖司,タケウチ セイジ,092-962-2121,092-962-2125,takeuchi@kawasaki-kenki.co.jp,"*職場見学の参加によって、採否を決定するものではありません。
*履歴書は手書き·PCどちらも可","*暑期手当10,000円 7·8·9月に支給
*賃金総支給額:190,000円
控除額目安 : 31,137円 (税金+社会保険料) 
手取額目安 :158,863円
*選考旅費は、公共交通機関利用時の最短かつ最安条件にて計算",901,75,075-04,75,075-01,福岡県糟屋郡新宮町,,,2937,,,,,,,,,,,,,2026年09月07日 13:39,2026年09月07日 13:39,バーコードスキャン,求人番号_40120-486569.pdf,製造・修理・塗装・製図等の職業,機械整備・修理工,輸送用機械器具整備・修理工（自動車を除く）,生産/製造に関わる,整備/修理,製造・修理・塗装・製図等の職業,機械整備・修理工,はん用・生産用・業務用機械器具整備・修理工,生産/製造に関わる,整備/修理,0,554,輸送機械整備・修理従事者（自動車を除く）,551,はん用・生産用・業務用機械器具整備・修理従事者
2026,25010-225469,大津公共職業安定所,2501-105386-2,可,サイチコウギョウカブシキガイシャ,サイチ工業 株式会社,520-2113,滋賀県大津市平野三丁目1番11号,JR琵琶湖線 瀬田駅 から 車15分,代表取締役 山本 彰,6160000000000,https://saichi-kk.co.jp,213,56,明治40年,"2,000万円",高付加価値フィルム製造·販売,"創業100年を超える会社です。
若手社員も活躍中。
技術力を身につけて成長できます!",正社員,高機能フィルム製造スタッフ,"高機能フィルムを製造する機械の操作や製品の品質確認を行います。
食品包装やスマートフォン、電子機器など、私たちの暮らしに欠かせない製品
に使われるフィルムづくりに携わる仕事です。
機械操作や製造の知識は入社後に先輩社員が一から丁寧に指導しますので、専
門知識は必要ありません。チームで協力しながら、安全第一で高品質なものづ
くりに取り組みます。
【従事すべき業務の変更範囲:会社の定める業務】",520-3041,"滋賀県栗東市出庭下天白550 栗東工場
上記を含め4工場 (大津市、栗東市の2工場、守山市) のいずれか
に配属",JR琵琶湖線 守山駅 から 徒歩25分,0,0,4,不問,あり,可,あり,なし,200000,200000,あり,あり,10,変形労働時間制 (1年単位),日 その他,08:15-17:00,07:00-19:00,19:00-07:00,120,可,令和8年10月1日以降,可,随時,管理本部 総務課,本郷 孝博,ホンゴウ タカヒロ,077-561-9811,077-569-4647,,"【公開求人】専願優先/事業所内公正採用選考·人権啓発担当者有
·配属先は滋賀県内4工場のいずれかです。 (就業場所欄を参照) 
本人の希望や通勤時間、適性を考慮して決定します。
·勤務時間は配属先によって異なり、複数の勤務パターンがありま
す。詳細は別途ご説明します。
·入社後は先輩社員が一から丁寧に指導しますので、専門知識は必
要ありません。","·社宅 (借上げアパート) 制度があります。※入居条件は会社規定
によります。
·交替勤務手当 (400円〜750円/1勤務) 住宅手当など各種
手当があります。
·福利厚生サービスに加入しており、旅行·宿泊補助や提携施設の
割引などが利用できます。
·応募前の職場見学を歓迎しています。仕事内容や職場の雰囲気を
実際にご覧いただけます。",182,89,089-99,73,073-99,滋賀県栗東市,滋賀県大津市,滋賀県守山市,2938,,,,,,,,,,,,,2026年09月07日 13:39,2026年09月07日 13:39,バーコードスキャン,求人番号_25010-225469.pdf,配送・輸送・機械運転の職業,施設機械設備操作・建設機械運転の職業,その他の施設機械設備操作・建設機械運転の職業,運輸/物流に関わる,機械運転,製造・修理・塗装・製図等の職業,製品製造・加工処理工（金属製品・食料品等を除く）,その他の製品製造・加工処理工（金属製品・食料品等を除く）,生産/製造に関わる,製造/加工(その他),0,649,その他の定置・建設機械運転従事者,539,その他の製品製造・加工処理従事者（金属製品を除く）
2026,40010-850569,福岡中央公共職業安定所,4001-633131-8,可,アオバコウギョウカブシキガイシャ,あおば工業株式会社,812-0857,福岡県福岡市博多区西月隈1-14-44,,代表取締役 近藤 斉,5290000000000,https://www.aoba-k.co.jp,6,6,平成29年,300万円,空調衛生設備の設計·施工·管理,"社員一人ひとりが高い知識と技術力を誇り、客先のニーズへ的確に
対応し、高い評価をいただいている会社です。",正社員,冷媒配管工(空調設備の取付)," (将来の配置:変更なし) 主に福岡市内のオフィスビルや商業施設等の現場
にて配管工事業務を行います。具体的な仕事内容は下記の通りです。
·高所作業車を操作し、空調機や配管 (切断、溶接加工したもの) を吊込む。
·気密試験にて漏えいがないことを確認し、フロンガスを充填して空調機を
使用できる状態にする。
※ガス溶接、フロン取扱技術者、施工管理技士等の資格を取得して頂きます。
覚えることが多く大変ですが、知識とスキルを身につければ一生モノの資産に
なります。仕事の達成感や満足感はとても大きいですよ。
未経験の方でも先輩社員がついて指導しますので、安心してご応募ください。",812-0857,福岡県福岡市博多区西月隈1-14-44,,0,0,3,不問,なし,可,あり,あり,240000,270000,あり,あり,20,,土日祝 その他,08:00-17:30,,,125,可,令和8年11月1日以降,可,随時,総務,藤,トウ,092-433-0040,092-433-0041,tou@uni-a.jp,"*建設現場での作業が中心となるため、福岡市内の公共施設·商業
施設などが主な現場となります。
*時期や工期により残業が発生する場合もありますが、頑張った分
は手当でしっかりサポートします。
*資格取得は会社が費用を全額負担 (ガス溶接·高所作業車など) 
*「技術や資格を身につけて働きたい」「モノづくりが好き」
そんな方々にとって一生モノのスキルが身につくお仕事です!
※有期労働契約:原則更新
※履歴書は手書き·PCどちらでも可
選考旅費:学校を起点として公共交通機関利用分を支給","*使用期間3ヶ月。労働条件変更なし
*借上アパート:敷金礼金、不動産手数料等の初期費用は会社負担
1人部屋·家賃光熱費は自己負担
*マイカー通勤:無料駐車場あり
*賃金総支給額:270,000円 控除額目安:47,076円
手取額目安:222,924円
*入社後は先輩がサポートします。専門的なスキルは
現場での実践を通じて着実に身につけられます!
*職場見学:随時対応 (お気軽にご相談ください) 
*お仕事の詳細はHPなどからご確認ください。",89,91,091-06,,,福岡県福岡市博多区,,,2936,,,,,,,,,,,,,2026年09月07日 13:39,2026年09月07日 13:39,バーコードスキャン,求人番号_40010-850569.pdf,建設・土木・電気工事の職業,建設の職業（建設躯体工事の職業を除く）,配管工,建設/建築/土木に関わる,建築,,,,,,0,666,配管従事者,,
2026,13080-1960769,新宿公共職業安定所,1308-647516-3,可,カブシキガイシャ フィルライト,株式会社 FILL LIGHT,162-0814,東京都新宿区新小川町2-11 双葉ビル3階,JR線飯田橋駅 から 徒歩4分,代表取締役 湯浅 晃平,8011100000000,https://fill-light.co.jp,47,42,平成30年,100万円,"中小企業の経営者·オーナーに向けて、
グループ会社が提供するAIシステムの導入や、
助成金制度、SNSを活用したマーケティングを電話にて提案。","若い層が活躍する、非常に活気のある会社です。入社時には約1ヶ
月の研修を行い、社会人としての基礎知識や 営業のノウハウを学
んで頂くことができます。",正社員,総合職,"はじめはインサイドセールスの就業になります。
·様々な商材のご提案を電話にて行っていただきます!
研修制度もあるので未経験の方も安心して業務を始めることができます。
※従業員30名中25名がインセンティブ獲得実績あり◎
→未経験の方でもしっかり稼ぐことが出来ます!
教育部での研修が終了したあとは、
現場にて実践経験を積んでいただきます。
その際も責任者がしっかりサポートいたします!
変更範囲:適性、希望により他部署の配属になる可能性があります。",162-0814,東京都新宿区新小川町2-11 双葉ビル3階,JR線飯田橋駅 から 徒歩4分,10,0,0,不問,なし,不可,,,208400,255000,あり,あり,10,,日祝 その他,10:00-19:00,,,113,可,令和8年10月1日以降,可,随時,人事部、採用担当,採用担当者,,070-1573-0890,03-6369-3440,,"·弊社上京支援制度の利用対象となる場合は、
上京費用を最大10万円まで負担いたします。
支援対象者については、別途問い合わせください。
·入社6か月後に面談を実施。
今後の雇用形態や給与に関して話す場を設けています。
·既卒/中退:同条件",,330,33,033-03,36,036-02,東京都新宿区,,,2933,,,,,,,,,,,,,2026年09月03日 13:56,2026年09月03日 13:56,バーコードスキャン,求人番号_13080-1960769.pdf,事務的職業,総務・人事・企画事務の職業,企画・調査事務員,事務に関わる,一般事務,事務的職業,電話・インターネットによる応接事務の職業,テレフォンアポインター,事務に関わる,一般事務,0,253,企画事務員,256,電話応接事務員
2026,46080-43969,大隅公共職業安定所,4608-614399-6,可,ジャスティモールドカブシキガイシャ,ジャスティモールド株式会社,899-4103,鹿児島県曽於市財部町下財部1637-33,JR日豊線 財部駅 から 車5分,代表取締役 東 晃一郎,9340000000000,https://www.justymold-web.com,52,52,令和4年,100万円,"·プラスティック用精密金型の設計製作
·プラスティック樹脂成形及び加工
·電気·電子部品及び自動車部品組立加工","令和4年10月に (株) ジャスティの会社分割により全事業を承継
。精密工作機械を駆使して、金型設計製作〜樹脂成形〜組立加工の
一貫生産を行い、社会に貢献できる地域企業を目指す。",正社員,プラスチック用金型·プラスチック品製造工,"○マシンオペレーター『成形技能·電子部品組立·金属加工』
自動車·IT家電向けプラスチック製品の成形オペレーター
電子部品組立機械·金属加工機 (平面研削盤など) のオペレーター
○プラスチック検査業務
IT·デジタル家電向け樹脂部品の検査·加工 (プラスチック) 
自動車向けプラスチック製品の検査·加工 (日産·ホンダ·トヨタ) 
○プラスチック製品の品質管理
IT·デジタル家電向け樹脂部品及び自動車向けプラスチック製品の
品質管理 【業務の変更範囲:変更無し】",899-4103,鹿児島県曽於市財部町下財部1637-33,JR日豊線 財部駅 から 車5分,3,0,0,不問,なし,可,なし,なし,184355,184355,あり,あり,20,変形労働時間制 (1ヶ月単位),日 その他,08:00-16:45,16:30-00:45,00:20-08:25,100,可,令和8年10月1日以降,可,随時,取締役 工場長,渡邊 光男,ワタナベ ミツオ,0986-72-3780,0986-72-3782,justy_mold@justy-web.jp,"○一部交替制有
オペレーター (成形技能及び組立機械) については、
入社して一定期間経過後、交替制勤務に移行する可能性有
変形労働時間制 (1ヶ月単位) 
 (1) 08時00分〜16時45分
 (2) 16時30分〜00時45分
 (3) 00時20分〜08時25分
交替勤務手当 (2) 900円/回  (3) 1,700円/回","○賞与·昇給:昨年度は新規学卒者の採用がなかったため実績なし
ですが会社規定により支給。
○履歴書:手書き·パソコン作成どちらも可
○既卒者·中退者の応募の際にはハローワークの紹介状が必要です",292,73,073-08,78,078-06,鹿児島県曽於市,,,1947,,,,,,,,,,,,,2026年07月27日 09:16,2026年09月03日 10:20,バーコードスキャン,求人番号_46080-43969.pdf,製造・修理・塗装・製図等の職業,製品製造・加工処理工（金属製品・食料品等を除く）,プラスチック製品製造工,生産/製造に関わる,製造/加工(その他),製造・修理・塗装・製図等の職業,製品検査工（金属製品・食料品等を除く）,ゴム・プラスチック製品検査工,生産/製造に関わる,製品検査(その他),0,538,ゴム・プラスチック製品製造従事者,578,ゴム・プラスチック製品検査従事者
2026,08060-36369,常総公共職業安定所,0806-201196-7,可,メークス カブシキガイシャ,メークス 株式会社,302-0119,茨城県守谷市御所ケ丘2-10-2,新守谷駅 から 徒歩5分,代表取締役 森山 泰宏,7050000000000,http://www.i-makes.com,390,15,昭和60年,1億円,"建築用基礎鉄筋の加工、販売
土木工事
温泉業務","大手ハウスメーカ等を主力に住宅用基礎鉄筋に販売をしています
年功序列で無く、勤続年数に関わらず成果主義で正当評価します",正社員,"工場内作業職/南九州工場(鹿児島県姶良市
)","主にハウスメーカーからの注文により住宅用基礎鉄筋を
あらかじめ工場で製造する工場内作業のお仕事です
◎住宅基礎鉄筋の切断、曲げ、溶接、組立、組合せ、出荷等大きく4つの
工程で進めます
*製造工程は機械で切断→曲げる→溶接→組立、組合せ→出荷する作業。
*機械 (タッチパネル) 操作は一度覚えれば出来るようになります。
*工場内作業のほとんどが機械を使って行います。
*日勤のみの仕事です。 変更範囲:変更なし",899-5652,鹿児島県姶良市平松7412,JR姶良駅 から 徒歩10分,3,0,0,"必須
普通自動車第一種免許
※入社前に取得していただきます",あり,可,なし,なし,214000,301000,あり,あり,20,変形労働時間制 (1年単位),その他,08:30-17:45,,,120,可,令和8年10月1日以降,可,随時,人事総務部,宮本 陸,ミヤモト リク,0297-55-1611,0297-55-1612,recruit@i-makes.com,"◆住宅用ユニット鉄筋シェア日本一企業!
国内に7工場 (宮城、新潟、茨城、群馬、岐阜、鹿児島、佐賀) 
応援、研修等により上記工場等へ一時転勤の可能性があります。
 (入社時は基本採用工場勤務) 
◆当社は年功序列でなく、成果主義で正当評価致します。
皆様からの応募を心よりお待ち申し上げております。
◆問合わせ及び応募書類送付先
〒302-0119茨城県守谷市御所ケ丘2-10-2
人事総務部 宮本 宛 (TEL:0297-55-1611) ","*マンツーマンで先輩社員が優しくしっかり研修をいたします。
*規律を守り協調性のある方を歓迎します。
*住宅産業に興味のある方、ものづくりを通じて社会貢献したい方
*選考旅費については、公共交通機関を利用の場合に限り
 (上限1万円迄) にて支給します。領収書を添付して下さい。
*応募前職場見学が可能です。 (要事前連絡) 
*2か月の試用期間あり
*誕生日休暇、企業年金制度など福利厚生充実しています。
*応募書類は手書き·PCどちらでも可",244,71,071-08,,,鹿児島県姶良市,,,2932,,,,,,,,,,,,,2026年09月01日 08:27,2026年09月01日 08:27,バーコードスキャン,求人番号_08060-36369.pdf,製造・修理・塗装・製図等の職業,製品製造・加工処理工（金属製品）,鉄工、製缶工,生産/製造に関わる,製造/加工(金属),,,,,,0,525,鉄工，製缶従事者,,
