"独自番号","安定所名","求人番号","事_業_所","所_在_地","資本金","全社員数","就業場所人数","求人数","就業場所","月額賃金","賞与","時間外平均","週休２日制","年間休日数","業種8種","産業分類","職種"
"0001","大隅公共職業安定所","46080-85159","株式会社ナンチク","鹿児島県曽於市末吉町二之方１８２８","4億9,000万円",748,354,10,"鹿児島県",\172200,"あり",10,"その他",118,"製造分野","畜産食料品製造業","総合職（食肉製造加工）"
"0002","大隅公共職業安定所","46080-86259","株式会社ナンチク","鹿児島県曽於市末吉町二之方１８２８","4億9,000万円",748,21,3,"鹿児島県",\172200,"あり",4,"その他",118,"製造分野","畜産食料品製造業","総合職（施設管理）"
"0003","大隅公共職業安定所","46080-87559","株式会社ナンチク","鹿児島県曽於市末吉町二之方１８２８","4億9,000万円",748,70,2,"鹿児島県",\172200,"あり",3,"その他",118,"製造分野","畜産食料品製造業","総合職（事務）"
"0004","大隅公共職業安定所","46080-83059","志布志飼料株式会社","鹿児島県志布志市志布志町志布志３３０７","2億円",40,32,1,"鹿児島県",\230200,"あり",,"その他",106,"製造分野","飼料・有機質肥料製造業","飼料製造技術者"
"0005","鹿屋公共職業安定所","46030-80959","国基建設株式会社","鹿児島県鹿屋市串良町有里３１３０","2,000万円",80,80,2,"鹿児島県",\180000,"あり",15,"その他",107,"建築・設備","一般土木建築工事業","建築施工管理見習い"
"0006","鹿屋公共職業安定所","46030-79559","国基建設株式会社","鹿児島県鹿屋市串良町有里３１３０","2,000万円",80,80,2,"鹿児島県",\180000,"あり",15,"その他",107,"建築・設備","一般土木建築工事業","土木施工管理見習い"
"0007","鹿児島公共職業安定所","46010-50459","屋久島電工株式会社","鹿児島県熊毛郡屋久島町宮之浦９３９番地","20億600万円",160,156,8,"鹿児島県",\194700,"あり",8,"毎週",124,"製造分野","研磨材・同製品製造業","製造・設備保全"
"0008","鹿児島公共職業安定所","46010-22359","三洋工機株式会社","鹿児島県鹿児島市南栄２丁目７－６","2,000万円",100,100,5,"鹿児島県",\195000,"あり",10,"その他",120,"建築・設備","その他の設備工事業","機械技術者"
"0009","鹿児島公共職業安定所","46010-25559","三洋工機株式会社","鹿児島県鹿児島市南栄２丁目７－６","2,000万円",100,100,5,"鹿児島県",\195000,"あり",10,"その他",120,"建築・設備","その他の設備工事業","電気技術者"
"0010","鹿児島公共職業安定所","46010-907859","岩崎産業株式会社","鹿児島県鹿児島市山下町９－５","3,800万円",585,27,3,"鹿児島県",\198000,"あり",2,"その他",110,"販売・小売・スーパー","燃料小売業","農業"
"0011","鹿児島公共職業安定所","46010-838159","岩崎産業株式会社","鹿児島県鹿児島市山下町９－５","3,800万円",585,126,2,"鹿児島県",\190000,"あり",2,"その他",110,"販売・小売・スーパー","燃料小売業","経理・一般事務"
"0012","鹿児島公共職業安定所","46010-900159","岩崎産業株式会社","鹿児島県鹿児島市山下町９－５","3,800万円",585,165,10,"",\197000,"あり",25,"その他",110,"販売・小売・スーパー","燃料小売業","ガソリンスタンドスタッフ"
"0013","鹿児島公共職業安定所","46010-876659","いわさきコーポレーション株式会社","鹿児島県鹿児島市鴨池新町１２番１２号","8,000万円",124,71,4,"鹿児島県",\195000,"あり",9,"その他",102,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","桜島サービスエリアでの接客・事務"
"0014","鹿児島公共職業安定所","46010-877959","いわさきコーポレーション株式会社","鹿児島県鹿児島市鴨池新町１２番１２号","8,000万円",124,19,4,"鹿児島県",\195000,"あり",9,"その他",102,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","高速船整備"
"0015","鹿児島公共職業安定所","46010-878859","いわさきコーポレーション株式会社","鹿児島県鹿児島市鴨池新町１２番１２号","8,000万円",124,19,2,"鹿児島県",\195000,"あり",9,"その他",102,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","フェリー工務"
"0016","鹿児島公共職業安定所","46010-875759","いわさきコーポレーション株式会社","鹿児島県鹿児島市鴨池新町１２番１２号","8,000万円",124,21,1,"鹿児島県",\195000,"あり",9,"その他",102,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","高速船整備事務"
"0017","鹿児島公共職業安定所","46010-816759","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,130,10,"",\190000,"あり",7,"その他",110,"飲食・宿泊","旅館，ホテル","調理"
"0018","鹿児島公共職業安定所","46010-815459","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,187,15,"",\190000,"あり",7,"その他",110,"飲食・宿泊","旅館，ホテル","ホテル業務"
"0019","鹿児島公共職業安定所","46010-814559","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,17,3,"鹿児島県",\190000,"",7,"その他",110,"飲食・宿泊","旅館，ホテル","レストラン業務"
"0020","鹿児島公共職業安定所","46010-818959","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,266,8,"",\190000,"あり",7,"その他",110,"飲食・宿泊","旅館，ホテル","工務"
"0021","鹿児島公共職業安定所","46010-820159","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,266,10,"",\190000,"あり",7,"その他",110,"製造分野","旅館，ホテル","園芸"
"0022","鹿児島公共職業安定所","46010-819859","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,75,5,"",\190000,"あり",7,"その他",110,"飲食・宿泊","旅館，ホテル","コース管理"
"0023","鹿児島公共職業安定所","46010-817659","岩崎産業株式会社（いわさきホテルズ）","鹿児島県鹿児島市山下町９－５","3,800万円",585,50,10,"鹿児島県",\190000,"あり",,"その他",110,"飲食・宿泊","旅館，ホテル","キャディー業務"
"0024","鹿児島公共職業安定所","46010-869959","鹿児島交通株式会社","鹿児島県鹿児島市鴨池新町１２番１２号","2,000万円",608,65,3,"鹿児島県",\190000,"あり",30,"その他",102,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","鴨池・垂水フェリー事業での接客・事務"
"0025","鹿児島公共職業安定所","46010-871159","鹿児島交通株式会社","鹿児島県鹿児島市鴨池新町１２番１２号","2,000万円",608,435,10,"",\190000,"あり",30,"その他",84,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","バス事業での接客・事務"
"0026","鹿児島公共職業安定所","46010-870359","鹿児島交通観光バス株式会社","鹿児島県鹿児島市鴨池新町１２番１２号

農協会館前　バス停から　徒歩３分","5,000万円",113,37,1,"鹿児島県",\225000,"あり",11,"その他",84,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バスガイド"
"0027","鹿児島公共職業安定所","46010-872259","日本カーメンテナンス株式会社","鹿児島県鹿児島市鴨池新町１２番１２号

（農協会館前バス停から徒歩３分）","3,000万円",31,27,7,"鹿児島県",\200000,"あり",16,"その他",102,"その他の分野","自動車整備業","自動車整備"
