求人年度,求人番号,受付安定所,事業所番号,インターネットへの公開,事業所名 カナ,事業所名,郵便番号（所在地）,住所（所在地）,アクセス（所在地）,代表者名,法人番号,ホームページ,従業員数（企業全体）,従業員数（就業場所）,設立,資本金,事業内容,会社の特長,雇用形態,職種,仕事の内容,郵便番号（就業場所）,住所（就業場所）,アクセス（就業場所）,求人数（通勤）,求人数（住込）,求人数（不問）,必要な知識・技能等,転勤の可能性,マイカー通勤の可否,入居可能住宅（単身用）,入居可能住宅（世帯用）,基本給,月給（基本給+手当+残業代）,賞与有無（新卒）,時間外労働の有無,時間外労働の月平均時間数,変形労働時間制の種類,休日等,就業時間1,就業時間2,就業時間3,年間休日数,複数応募の受け入れ,複数応募開始の日程,職場見学の受け入れ,職場見学の日程,課係名・役職名（担当者）,氏名（担当者）,氏名カナ（担当者）,電話番号（担当者）,FAX（担当者）,Eメール（担当者）,補足事項,特記事項,産業分類,職業分類（3桁）,職業分類（5桁）,職業分類2（3桁）,職業分類2（5桁）,就業場所住所（市区町村）,就業場所住所2（市区町村）,就業場所住所3（市区町村）,管理番号,対象学科,エリア,卒業生の入社実績,その他の分類,募集人数,来校の有無,二次募集の有無,職場見学人数,応募人数,入社人数,備考,申送り事項,公開日時,最終更新日時,登録方法,元ファイル名,職業分類（ハローワーク）大分類,職業分類（ハローワーク）中分類,職業分類（ハローワーク）小分類,職業分類（handy）大分類,職業分類（handy）中分類,職業分類2（ハローワーク）大分類,職業分類2（ハローワーク）中分類,職業分類2（ハローワーク）小分類,職業分類2（handy）大分類,職業分類2（handy）中分類,お気に入り登録数,職業分類コード（日本標準職業分類への変換）,職業分類（日本標準職業分類への変換）,職業分類2コード（日本標準職業分類への変換）,職業分類2（日本標準職業分類への変換）
2026,45040-147269,都城公共職業安定所,4504-202098-1,不可,カブシキガイシャ キュウシュウコガネイ,株式会社 九州コガネイ,885-1204,宮崎県都城市高城町桜木1702番18,山之口駅 から 車10分,"代表取締役
青木 正史",2350001007924,https://kyushu-koganei.co.jp/,123,123,平成3年,"5,000万円",空圧並びに油圧機器、流体制御機器及び付属品の製造販売,"エレクトロニクス産業のほか、精密、食品、医療、木工、自動車な どの自動化、省力化機器システムを提供している。 (株)  コガネイ
が、国内第3の生産拠点として設立した会社である。",正社員,生産技能員、製造管理員,"1、半導体製造装置向け流体制御機器などの組立·検査·包装作業
2、空気圧機器、流体制御機器、電装コントローラなどの組立· 検査 · 包装作業
3、マシニングセンタ、NC自動盤、専用機械による切削加工及び検査作業 4、生産管理、部品調達、品質管理などの管理業務 5、生産設備の設計、導入、工程設計、改善プロジェクトなど
 (株)  コガネイの生産系関係会社として1991年2月に創業。 2024年より新社屋建設、新規事業など業務拡大を計画的に進行中。
※変更の範囲:会社の定める業務",885-1204,宮崎県都城市高城町桜木1702番18,山之口駅 から 車10分,10,0,0,"不問
受付 第129 08. 7. 03
進路指導",なし,可,なし,なし,180000,180000,あり,あり,10,変形労働時間制 (1年単位),土日祝 その他,08:45-17:35,21:10-06:00,,129,可,令和8年10月1日以降,可,随時,管理部 管理部長,島田 二郎,シマダ ジロウ,0986-51-9111,0986-51-9112,shimada-jr@koganei.co.jp,"【会社が求める人材、採用を決めるポイント】
·コミュニケーション能力に優れ指示待ちでなく、自ら向上する
意欲、姿勢をもつ人材
·目的を持ち自分の意見をしっかり伝えられる人材
*試用期間:3ヶ月 (労働条件の変更なし) 
*昇給:年1回
*応募書類:手書き作成のみ
*学科試験はSPIになります。","*賃金手取り額: 151,200円 (税金等控除後)  *賃金から控除される金額:28,800円 (税·社会保険等) 
*マイカー通勤:無料駐車場あり *入社日:令和9年4月1日
*諸手当:職場手当 (加工·SC職場配属のみ)  *二交替制、夜勤者 (21:10~6:00 休憩50分)  夜勤手当あり
*深夜割増別途支給",269,,,074,074-01,宮崎県都城市,,,0129,,,,,,,,,,,,,2026年07月03日 14:47,2026年07月03日 18:00,PDFアップロード,20260703142933.pdf,,,,,,製造・修理・塗装・製図等の職業,機械組立工,はん用・生産用・業務用機械器具組立工,生産/製造に関わる,組立,0,,,541,はん用・生産用・業務用機械器具組立従事者
2026,46010-527569,鹿児島公共職業安定所,4601-921328-0,可,ニホンコウギョウケンサカブシキガイシャ オオイタエイギョウショ ケンササンカ,日本工業検査株式会社 大分営業所 検査3課,891-0202,"鹿児島県鹿児島市喜入中名町2856-5
ENEOS喜入基地 (株) 内",JR指宿枕崎線 中名駅 から 徒歩10分,課長 俣木 陽一,3020001081596,https://www.nikkoken.com/,496,12,昭和38年,"9,000万円","1非破壊検査…石油化学プラント、発電所等
2計測…橋、鉄道、パイプライン等
3調査診断…ビル·大規模商業施設等","当社は社会インフラや様々な構造物について専門の機会を使用し、
内部や表面の欠陥がないか検査をする会社である。
社会が安心して暮らせるように支える社会貢献できる仕事である。",正社員,"非破壊検査業(技術サービス業)
【喜入事務所】","○石油化学工場、発電設備、ビルや橋などインフラ構造物の
非破壊検査·計測·調査診断
※非破壊検査:超音波や放射線、レーダーなど最新の装置と技術を駆使し、
物を壊すことなくその欠陥や劣化の状況を調べ出す検査技術。
《変更範囲:なし》",891-0202,"鹿児島県鹿児島市喜入中名町2856-5
ENEOS喜入基地内",JR指宿枕崎線 中名駅 から 徒歩10分,0,0,1,"あれば尚可
普通自動車運転免許 (AT限定可·入社後取得可) 
※誕生日の都合で入社日までに取得できない場合は
事前にご相談ください。",なし,可,あり,なし,210400,210400,あり,あり,28,,日祝 その他,08:00-17:00,,,120,可,令和8年10月1日以降,可,随時,北九州営業所 所長,高橋 伸昌,タカハシ ノブマサ,093-571-1777,093-571-8957,nbm.takahashi@nikkoken.com,"·入社支度金あり (入社時10万円支給) 
·独身寮あり (寮費1万円/月) 
ただし、入居条件あり
·各種免許資格について会社負担で取得が可能
資格取得への充実した研修制度あり
·新入社員研修にて山九グループ研修に参加 (北九州で開催) 
·業績連動賞与制度 (夏季·冬季賞与とは別で支給) 
·東証プライム上場企業の山九 (株) グループ企業","·免許制度あり (毎月800円〜8,000円/1免許) 
·マイスター (高度な検査技術) 手当あり
 (10,000円〜50,000円/月) 
·家族手当あり
 (配偶者10、000円/月) 
 (中学生までの子5,000円/月、
高校生以上の子2,500円/月) 
·応募前職場見学を希望の際は、事前に担当者まで
お問い合わせください。
·履歴書:手書き·パソコン作成どちらも可",929,076,076-02,,,鹿児島県鹿児島市,,,0126,,,,,,,,,,,,,2026年07月03日 14:34,2026年07月03日 17:30,バーコードスキャン,求人番号_46010-527569.pdf,製造・修理・塗装・製図等の職業,製品検査工（金属製品）,金属加工・溶接検査工,生産/製造に関わる,製品検査(金属),,,,,,1,562,金属加工・溶接・溶断検査従事者,,
2026,13010-1034069,飯田橋公共職業安定所,1301-562892-7,可,カブシキガイシャ ウルトラエックス,株式会社ウルトラエックス,101-0032,東京都千代田区岩本町3ー9ー17 スリーセブンビル8F,山手線/京浜東北線/中央·総武線/日比谷線 秋葉原駅 から 徒歩5分,代表取締役 服部 達也,4010501020079,https://www.uxd.co.jp,18,3,平成12年,"3,810万円","パソコンやスマートフォンの故障を診断するソフトウェアやデータ
消去ソフトウェアをはじめとした幅広いソフトウェアを開発、販売
提供しています。","診断ソフトウェア業界シェアNo1!お客様への迅速な対応で採用
いただいたお客様には長年ご利用いただいております。お取引先は
大手パソコンメーカー、リサイクルショップなど多岐に渡ります。",正社員,ソフトウェアエンジニア,"自社が開発しているソリューションの開発に携わっていただきます。
テスト:ソリューションがきちんと作動するかを検査する
プログラミング:専用ソフトからプログラミング言語をつかって実装する
設計:どんな機能をどれくらいの期間をかけてなどの計画を立てる
サポート:お客様のご相談に技術的にご相談にのります
当社のソリューションはお客様からのお声をいただきながら開発をしています
展示会でソリューションの説明をする場合があります
地方活性活動:地域住民の方々との交流やイベントの参加をします
変更範囲:会社の定める業務",891-3432,"鹿児島県西之表市安城3517-239
当社 種子島事業所",,1,0,0,"あれば尚可
なにかしらの開発経験 (学校、独学問わず) 
Excel、Word、PowerPoint",あり,可,なし,なし,200000,200000,あり,あり,10,,土日祝 その他,09:30-18:30,,,124,可,令和8年10月1日以降,可,補足事項欄参照,管理部,苅谷,カリヤ,03-5823-5620,03-5823-5667,keiri@uxd.co.jp,"·職場見学は希望の日程を第三希望まで担当者にお知らせください
·選考:面接、WEB適性検査 (BRIDGE2) 、技術テスト
面接と試験で合わせて3時間程度いただきます (適性検査後日) 
※見学の参加の有無によって採否決定されるものではありません
·有給休暇は入社後翌月に付与されます (10日) 
·試用期間の6カ月は当社種子島事業所内の仮配属先にて研修に勤
めていただきます
·試用期間中は月1日まで有給休暇が取得可能です
·試用期間の成果、適性によって本配属先が決定されます
·夏季休暇は有給休暇を充てます (5日間) ※週休合わせて9日間","·入社1年経過後、退職金共済に加入します (社員負担はなし) 
·残業代は翌月に支給されます ·寮等希望の方はご相談下さい
·昇給、賞与は会社業績及び本人実績によります
·通勤手当:マイカー通勤は自宅から会社までの距離によって異な
ります
·WEBでの選考を実施する際は、学校と調整のうえ、学校の設備
機材を使用します (Google Meet) 
種子島事業所は学校の一部をリノベーションした事業所です
地域の方々と一緒にラジオ体操をしたりして交流をしています",391,009,009-01,009,009-02,鹿児島県西之表市,,,0167,,,,,,,,,,,,,2026年07月03日 15:20,2026年07月03日 15:20,バーコードスキャン,求人番号_13010-1034069.pdf,研究・技術の職業,情報処理・通信技術者（ソフトウェア開発）,ソフトウェア開発技術者（WEB・オープン系）,情報処理/通信技術に関わる,ソフトウェア開発,研究・技術の職業,情報処理・通信技術者（ソフトウェア開発）,ソフトウェア開発技術者（組込・制御系）,情報処理/通信技術に関わる,ソフトウェア開発,0,104,ソフトウェア作成者,104,ソフトウェア作成者
2026,46010-334769,鹿児島公共職業安定所,4601-20674-3,可,カブシキガイシャ タイヨウハナビ,株式会社 太洋花火,890-0054,鹿児島県鹿児島市荒田1丁目7-11,JR鹿児島中央駅 から 徒歩20分,代表取締役社長 園田 洋平,8340001002598,https://taiyohanabi.com,41,39,昭和52年,"1,000万円","煙火の製造、販売、打上
花火大会演出
特殊効果用煙火","”夜空に夢を”をモットーに、花火玉の製造、販売、打上を行って
います。鹿児島県内外で、花火を打ち上げております。",正社員,花火製造·打上作業[日置市],"○煙火 (花火玉) の製造及び花火打上従事者
·花火玉の製造
·花火打上業務
·音楽花火プログラム作成
※顧客は、国内の花火打上業者と各自治体、団体、実行委員会などです。
※入社後は、OJT教育や打上講習により、必要な知識·スキルを学べます。
《変更範囲:適性に応じ営業業務への変更可能性あり》",899-3102,"鹿児島県日置市日吉町山田字町原1610
「株式会社太洋花火 日吉工場」",JR伊集院駅 から 車15分,2,0,0,"あれば尚可
普通自動車運転免許 (AT限定可) 入社後取得可",あり,可,あり,なし,185000,185000,あり,あり,16,変形労働時間制 (1年単位),日 その他,08:00-17:00,,,90,可,令和8年10月1日以降,可,随時,専務,園田 耕太,ソノダ コウタ,099-250-2311,099-250-2314,seiryo@taiyohanabi.com,"○繁忙期には、シフトにより休日の入替えあり
○入居可能住宅あり:家賃20,000円/月 ※光熱費別
○転勤可能性:将来、営業職に変更になった場合、本社勤務
○賞与:賞与に関する規定あり
○履歴書:パソコン作成のみ","○応募前職場見学を希望の際は事前に担当者までご連絡ください。
○花火好き、ものつくりが好きな方を募集しています。
○火薬類を取り扱うため、丁寧な作業が求められます。
○令和8年度は新卒者1名が入社しました。
20代〜30代の社員が活躍中です。
○選考:面接と適性検査は同日に実施
選考旅費は規定により支給 (上限10,000円) 
ただし離島については応相談",169,073,073-01,,,鹿児島県鹿児島市,,,0166,,,,,,,,,,,,,2026年07月03日 15:20,2026年07月03日 15:20,バーコードスキャン,求人番号_46010-334769.pdf,製造・修理・塗装・製図等の職業,製品製造・加工処理工（金属製品・食料品等を除く）,化学製品製造工,生産/製造に関わる,製造/加工(その他),,,,,,0,531,化学製品製造従事者,,
2026,46010-546169,鹿児島公共職業安定所,4601-6249-0,可,シロヤマカンコウカブシキガイシャ シロヤマホテルカゴシマ,"城山観光 株式会社 【SHIROYAMA HOTEL kag
oshima】",890-8586,鹿児島県鹿児島市新照院町41番1号,JR鹿児島中央駅 から 車10分,代表取締役 矢野 隆一,6340001002245,http://www.shiroyama-g.co.jp,812,812,昭和23年,"3,000万円","ホテル業 (宿泊·飲食サービス) 
【県女性活躍推進宣言企業】","鹿児島の中心地、標高108mの豊かな自然と緑に囲まれた安らぎ
の空間。歴史と伝統を守りつつ常に新しい視点とおもてなしの心で
お客様満足に取り組み鹿児島における社会貢献を目指す。",正社員,"ホテルスタッフ(宿泊·レストラン·宴会·
婚礼·ホテル営業·プランナーなど)","【宿泊サービス】宿泊者のお迎え、お見送り、館内·客室への案内や
チェックイン、チェックアウト業務
【宴会サービス】婚礼、パーティ、イベント及び各種宴会でのサービスや
会場設営、会場運営
【レストラン】和食、洋食、中華レストランでのサービス
【ホテル営業】ホテル企画、広報、販売促進、宿泊販売、営業事務など
【ブライダルプランナー】婚礼営業、結婚式プランニング、婚礼手配など
○上記サービス業務を横断的に担当する部署への配属もあります。
《変更範囲:ホテル管理事務、ホテル内ヘルプなど会社が定める業務》",890-8586,鹿児島県鹿児島市新照院町41番1号,JR鹿児島中央駅 から 車10分,15,0,0,不問,なし,可,あり,なし,188000,188000,あり,あり,15,変形労働時間制 (1ヶ月単位),その他,06:00-15:00,09:00-18:00,14:00-23:00,109,不可,,可,随時,人事部,米積 有紀子,ヨネヅミ ユキコ,099-222-2140,099-225-1273,saiyou@shiroyama-g.co.jp,"·就業時間について
部署によって営業時間が異なるため、職場ごとの勤務シフトによ
る実働8時間勤務となります。
·その他の待遇·福利厚生
その他の休日:特別休暇、慶弔休暇、連続休暇制度3〜5日
社員食堂、託児所完備、定期健康診断、乳がん·子宮がん検診
制服貸与
·履歴書:手書き、パソコン作成どちらでも可","·職場見学可。応募前職場見学は事前にご連絡ください。ホテル館
内や職場の雰囲気をご覧いただけます。
·マイカー通勤可 (駐車場有料) 
ホテルのシャトルバスを利用して の通勤も可能です。
·独身寮あり。1部屋2人、1人あたり8畳、勤務先まで5分。空
き状況により相談に応じます。
·研修、スキルアップ制度充実",751,056,056-04,056,056-03,鹿児島県鹿児島市,,,0169,,,,,,,,,,,,,2026年07月03日 15:20,2026年07月03日 15:20,バーコードスキャン,求人番号_46010-546169.pdf,サービスの職業,接客・給仕の職業,旅館・ホテルフロント係,接客/サービスに関わる,接客,サービスの職業,接客・給仕の職業,ウエイター・ウエイトレス（飲食店ホール係） 、配ぜん人,接客/サービスに関わる,接客,0,404,身の回り世話従事者,403,飲食物給仕従事者
2026,46010-547669,鹿児島公共職業安定所,4601-6249-0,可,シロヤマカンコウカブシキガイシャ シロヤマホテルカゴシマ,"城山観光 株式会社 【SHIROYAMA HOTEL kag
oshima】",890-8586,鹿児島県鹿児島市新照院町41番1号,JR鹿児島中央駅 から 車10分,代表取締役 矢野 隆一,6340001002245,http://www.shiroyama-g.co.jp,812,812,昭和23年,"3,000万円","ホテル業 (宿泊·飲食サービス) 
【県女性活躍推進宣言企業】","鹿児島の中心地、標高108mの豊かな自然と緑に囲まれた安らぎ
の空間。歴史と伝統を守りつつ常に新しい視点とおもてなしの心で
お客様満足に取り組み鹿児島における社会貢献を目指す。",正社員,"調理職
(和食·洋食·中華·製菓·ベーカリー)","○ホテルにおける下記調理業務を担当していただきます。
·レストラン·宴会における和食·洋食·中華·鉄板焼きの調理及び
調理補助
下ごしらえ、仕込み業務、盛り付け業務
·婚礼·パーティ、イベント及び各種宴会での調理実演、
デモンストレーション
·レストラン·宴会及びショップ販売におけるパンやケーキ、焼菓子の製造
《変更範囲:ホテル内ヘルプなど会社が定める業務》",890-8586,鹿児島県鹿児島市新照院町41番1号,JR鹿児島中央駅 から 車10分,8,0,0,不問,なし,可,あり,なし,188000,188000,あり,あり,15,変形労働時間制 (1ヶ月単位),その他,06:00-15:00,09:00-18:00,13:00-22:00,109,不可,,可,随時,人事部,米積 有紀子,ヨネヅミ ユキコ,099-222-2140,099-225-1273,saiyou@shiroyama-g.co.jp,"·就業時間について
部署によって営業時間が異なるため、職場ごとの
勤務シフトによる実働8時間勤務となります。
·その他の待遇【福利厚生】
その他の休日:特別休暇、慶弔休暇、連続休暇制度3〜5日
社員食堂、託児所完備、定期健康診断、乳がん·子宮がん検診
制服貸与
·履歴書:手書き、パソコン作成どちらでも可。","·職場見学可。応募前職場見学は事前にご連絡ください。
ホテル館内や職場の雰囲気をご覧いただけます。
·ホテルのシャトルバスを利用しての通勤も可能です。
·独身寮あり。1部屋2人、1人あたり8畳、勤務先まで5分。
空き状況により相談に応じます。
·研修、スキルアップ制度充実",751,055,055-01,055,055-02,鹿児島県鹿児島市,,,0168,,,,,,,,,,,,,2026年07月03日 15:20,2026年07月03日 15:20,バーコードスキャン,求人番号_46010-547669.pdf,サービスの職業,飲食物調理の職業,日本料理調理人,接客/サービスに関わる,飲食,サービスの職業,飲食物調理の職業,西洋料理調理人,接客/サービスに関わる,飲食,0,391,調理人,391,調理人
2026,45040-194969,都城公共職業安定所,4504-615812-6,可,エムティエナジーカブシキガイシャ,MTエナジー株式会社,885-1203,宮崎県都城市高城町大井手1953番地9,山之口駅 から 車5分,代表取締役 元明 吉美,9350001015937,,17,15,令和2年,6億円,"·バイオマス発電所の運営
·発電所の管理·運転·保守点検","·2023年3月営業運転開始の新規事業
·持続可能な林業再生を創るバイオマス発電所プロジェクトとして
起業 ※男女別、トイレ、シャワー室完備",正社員,オペレーター発電所実務運転員,"*各種設備の日常点検、保守管理、消耗品の交換や整備
*薬品の補充や受入立会い、水質管理
*焼却灰交換 (フォークリフト使用) 
*所内清掃·整理
「変更範囲:変更なし」",885-1203,宮崎県都城市高城町大井手1953番地9,山之口駅 から 車5分,1,0,0,"あれば尚可
ボイラー技士、電気主任技術者、電気工事士
普通自動車免許",なし,可,なし,なし,180000,215000,あり,あり,5,変形労働時間制 (1ヶ月単位),その他,08:00-20:00,20:00-08:00,,182,可,令和8年10月1日以降,可,随時,総務,小林 尚美,コバヤシ ナオミ,0986-58-8100,0986-58-8101,mte.kobayashi@tiara.ocn.ne.jp,"·試用期間:2ヶ月 (労働条件変更なし) 
·1日12時間労働 (休憩時間120分を含む) 
·深夜割増料金は賃金に含む
·研修期間に関しては日勤のみ
·男女別トイレ·シャワールーム完備","*賃金手取り額:179,095円 (税金等控除後) 
*控除される額: 35,905円 (税、社会保険料等) 
*履歴書:手書き·パソコン作成どちらでも可 (混在可) ",331,089,089-02,,,宮崎県都城市,,,0170,,,,,,,,,,,,,2026年07月03日 15:20,2026年07月03日 15:20,バーコードスキャン,求人番号_45040-194969.pdf,配送・輸送・機械運転の職業,施設機械設備操作・建設機械運転の職業,発電員、変電員,運輸/物流に関わる,機械運転,,,,,,0,641,発電員，変電員,,
2026,46060-72169,伊集院公共職業安定所,4606-5760-0,可,プリマハムカブシキガイシャ カゴシマコウジョウ,プリマハム株式会社 鹿児島工場,896-0046,鹿児島県いちき串木野市西薩町17番地43,JR串木野駅 から 車5分,工場長 下岡 強,6010701008888,,1127,318,昭和6年,79億800万円,ハム·ソーセージ、食肉および加工食品の製造販売,"【食肉加工メーカー業界3位】食肉、ハム·ソーセージ、加工食品
の各分野を柱とした事業を展開。東京ディズニーリゾートの公式ス
ポンサーにもなっています。",正社員,製造職(勤務地限定社員),"食肉加工品の製造
生産ライン従事およびオペレーション
【変更範囲:変更なし】",896-0046,鹿児島県いちき串木野市西薩町17番地43,JR串木野駅 から 車5分,4,0,0,不問,なし,可,あり,なし,205500,205500,あり,あり,11,変形労働時間制 (1年単位),その他,08:00-16:45,,,120,可,令和8年10月1日以降,可,随時,総務課 課長,橋本 陽平,ハシモト ヨウヘイ,0996-26-1858,0996-26-1851,Youhei.Hashimoto@primaham.co.jp,"応募前職場見学可 (事前連絡のうえ) 
その他勤務時間帯として、
· 7:00〜15:45
·13:15〜22:00
等で勤務する可能性あり
○履歴書:手書き·パソコン作成どちらも可
〇単身用の住宅は、一定の条件により適用することがあります。","○通勤手当:車種やガソリン単価により異なります。
支給上限距離は、片道50キロとしています。
○選考旅費·赴任旅費は規定に基づき支給
○メンター制度あり
若手先輩社員がつき業務外の相談等も含めサポートしています。
○通勤のため普通自動車免許あれば尚可
 (通勤は車がないと不便です。) 
【令和8年6月26日「公正な採用·選考」により指導済】",091,072,072-02,,,鹿児島県いちき串木野市,,,0165,,,,,,,,,,,,,2026年07月03日 15:20,2026年07月03日 15:20,バーコードスキャン,求人番号_46060-72169.pdf,製造・修理・塗装・製図等の職業,製品製造・加工処理工（食料品等）,食肉加工工,生産/製造に関わる,製造/加工(食料品),,,,,,0,533,食料品製造従事者,,
2026,46010-455569,鹿児島公共職業安定所,4601-2193-5,可,カゴシマニッサン ジドウシャ カブシキガイシャ,鹿児島日産自動車 株式会社,892-0847,鹿児島県鹿児島市西千石町7-5,加治屋町駅 から 徒歩3分,代表取締役 上原 健太郎,9340001005682,https://ni-kagoshima.nissan-dealer.jp/,400,400,昭和21年,"9,500万円","日産自動車の製造する新車および自動車部品·用品の販売、
修理ならびに中古車の販売、損害保険代理店業。","当社は鹿児島県内で最も歴史と伝統のある販売会社の一つであり、
日産全車を扱っております。",正社員,事務職,"〇データ入出力
〇各種帳票作成
〇機器手配
《変更範囲:店舗の事務職》",892-0847,鹿児島県鹿児島市西千石町7-5 (本社),加治屋町駅 から 徒歩3分,1,0,0,"必須
*PCスキル (エクセル、ワード、パワーポイント) 
*普通自動車第一種免許 (AT限定可) 入社後取得可",あり,可,なし,なし,194000,194000,あり,あり,19,フレックスタイム制,水 その他,09:30-18:00,,,110,可,令和8年10月1日以降,可,補足事項欄参照,業務改革グループ,上村 裕太郎,カミムラ ユウタロウ,099-223-8114,099-223-8110,yuutarou-kamimura@kagoshima-nissan.co.jp,"〇離島·県外等通勤困難な地域からの入社の場合、本人選択に
よる賃貸住宅を会社で借り上げ、契約時に係る一時費用、引越し
費用は会社側が負担します。
毎月の家賃、光熱費等は本人負担となります。
○転勤の可能性について (県内20店舗) 
鹿児島地域8店舗 南薩地域2店舗 北薩地域3店舗
姶良·伊佐地域4店舗 大隅地域3店舗
○履歴書:手書き·パソコン作成どちらも可
○その他の試験
Excelの関数·ITパスポートに関する問題、タイピング","〇就業時間について (フレックスタイム制) 
※ (精算期間1ヶ月) 
9:30〜18:00 標準タイム
コアタイムなし
8:00〜20:00 フレキシブルタイム
〇選考について
1.一次選考:筆記·一次面接
2.二次選考:最終面接
〇職場見学を希望される場合は事前に必ずご予約をお願いします。",591,043,043-02,,,鹿児島県鹿児島市,,,0164,,,,,,,,,,,,,2026年07月03日 15:20,2026年07月03日 15:20,バーコードスキャン,求人番号_46010-455569.pdf,事務的職業,コンピュータ等事務用機器操作の職業,データ入力事務員,事務に関わる,データ処理,,,,,,1,312,データ・エントリー装置操作員,,
2026,46010-454269,鹿児島公共職業安定所,4601-2193-5,可,カゴシマニッサン ジドウシャ カブシキガイシャ,鹿児島日産自動車 株式会社,892-0847,鹿児島県鹿児島市西千石町7-5,加治屋町駅 から 徒歩3分,代表取締役 上原 健太郎,9340001005682,https://ni-kagoshima.nissan-dealer.jp/,400,400,昭和21年,"9,500万円","日産自動車の製造する新車および自動車部品·用品の販売、
修理ならびに中古車の販売、損害保険代理店業。","当社は鹿児島県内で最も歴史と伝統のある販売会社の一つであり、
日産全車を扱っております。",正社員,整備職(TS:テクニカルスタッフ),"○自動車整備
○整備内容、部用品、損害保険、整備保険証等の説明等
○接客、電話応対
《変更範囲:なし》",892-0847,"鹿児島市7店舗、日置市1店舗、姶良市1店舗、霧島市2店舗、薩
摩川内市2店舗、伊佐市1店舗、指宿市1店舗、南さつま市1店舗
、鹿屋市2店舗、曽於市1店舗、出水市1店舗のいずれか",,3,0,0,"必須
普通自動車第一種免許 (AT限定不可) 
*入社後取得可*",あり,可,なし,なし,194000,194000,あり,あり,19,フレックスタイム制,水 その他,09:30-18:00,,,110,可,令和8年10月1日以降,可,補足事項欄参照,業務改革グループ,上村 裕太郎,カミムラ ユウタロウ,099-223-8114,099-223-8110,yuutarou-kamimura@kagoshima-nissan.co.jp,"○離島·県外等通勤困難な地域からの入社の場合、本人選択に
よる賃貸住宅を会社で借り上げ、契約時に係る一時費用、引越し
費用は会社側が負担します。
毎月の家賃、光熱費等は本人負担となります。
○就業場所·転勤について (県内20店舗) 
鹿児島地域8店舗 南薩地域2店舗 北薩地域3店舗
姶良·伊佐地域4店舗 大隅地域3店舗
※配属先は入社後の4月中旬ごろの決定を予定しております。","○就業時間について (フレックスタイム制) 
1週40時間調整 1日7.5時間 (精算期間1ヶ月) 
【標準タイム】 9:30〜18:00
【コアタイム】 なし
【フレキシブルタイム】8:00〜20:00
○選考について
選考:筆記·適性·面接
○職場見学を希望される場合は事前に必ずご予約をお願いします。
○履歴書:手書き·パソコン作成どちらも可",591,075,075-03,,,鹿児島県鹿児島市,鹿児島県日置市,鹿児島県姶良市,0163,,,,,,,,,,,,,2026年07月03日 15:20,2026年07月03日 15:20,バーコードスキャン,求人番号_46010-454269.pdf,製造・修理・塗装・製図等の職業,機械整備・修理工,自動車整備・修理工,生産/製造に関わる,整備/修理,,,,,,0,553,自動車整備・修理従事者,,
